,year,week,date,day,time_of_day,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class,date-year,date-month,date-day
0,2017,8,9/21/2017,2,2,2,0,2,16,0,4,2,452,1,95,3,1,2017,9,21
1,2017,2,8/9/2017,4,2,2,0,5,8,0,4,2,447,1,136,4,2,2017,8,9
2,2017,8,9/21/2017,2,0,2,0,5,15,0,4,2,419,1,93,3,1,2017,9,21
3,2017,2,8/8/2017,3,2,2,0,5,8,0,4,2,381,2,181,4,2,2017,8,8
4,2017,2,8/8/2017,3,1,2,0,2,16,0,4,2,459,2,182,4,2,2017,8,8
5,2017,9,10/5/2017,2,0,2,0,5,15,0,4,2,419,1,87,3,1,2017,10,5
6,2017,9,10/6/2017,0,2,2,0,5,15,0,4,2,419,1,57,3,1,2017,10,6
7,2017,8,9/19/2017,3,1,2,0,2,16,0,4,2,459,2,103,4,2,2017,9,19
8,2017,2,8/8/2017,3,2,2,0,2,16,0,4,2,452,2,59,3,1,2017,8,8
9,2017,4,8/23/2017,4,1,2,0,5,28,0,2,2,385,1,89,3,1,2017,8,23
10,2017,3,8/17/2017,2,1,2,0,5,28,0,2,2,385,1,73,3,1,2017,8,17
11,2017,4,8/23/2017,4,2,2,0,5,8,0,4,2,447,1,118,4,2,2017,8,23
12,2017,4,8/23/2017,4,3,2,0,6,22,0,4,0,62,1,54,3,1,2017,8,23
13,2017,2,8/9/2017,4,1,2,0,6,12,0,4,2,381,2,79,3,1,2017,8,9
14,2017,2,8/10/2017,2,0,2,0,5,15,0,4,2,419,1,163,4,2,2017,8,10
15,2017,2,8/10/2017,2,0,2,0,0,29,0,4,2,354,2,176,4,2,2017,8,10
16,2017,11,10/18/2017,4,1,2,0,6,12,0,4,2,381,2,58,3,1,2017,10,18
17,2017,11,10/18/2017,4,2,2,0,5,8,0,4,2,447,1,48,2,1,2017,10,18
18,2017,4,8/23/2017,4,1,2,0,6,12,0,4,2,381,2,180,4,2,2017,8,23
19,2017,4,8/23/2017,4,0,2,0,5,28,0,4,2,403,1,109,4,2,2017,8,23
20,2017,4,8/22/2017,3,0,2,0,6,11,0,4,2,366,2,153,4,2,2017,8,22
21,2017,9,10/4/2017,4,2,2,0,5,8,0,4,2,447,1,70,3,1,2017,10,4
22,2017,9,10/4/2017,4,0,2,0,2,16,0,4,2,457,1,127,4,2,2017,10,4
23,2017,2,8/9/2017,4,0,2,0,5,15,0,4,2,386,1,132,4,2,2017,8,9
24,2017,4,8/21/2017,1,3,2,0,6,22,0,4,0,42,1,42,2,1,2017,8,21
25,2017,4,8/21/2017,1,0,2,0,5,28,0,4,2,403,1,95,3,1,2017,8,21
26,2017,4,8/22/2017,3,1,2,0,2,16,0,4,2,459,2,166,4,2,2017,8,22
27,2017,4,8/22/2017,3,2,2,0,2,16,0,4,2,452,2,168,4,2,2017,8,22
28,2017,12,10/23/2017,1,0,2,0,2,17,0,4,2,424,2,145,4,2,2017,10,23
29,2017,9,10/4/2017,4,2,2,0,2,16,0,4,2,409,2,105,4,2,2017,10,4
30,2017,2,8/9/2017,4,0,2,0,2,16,0,4,2,457,1,158,4,2,2017,8,9
31,2017,2,8/9/2017,4,2,2,0,2,16,0,4,2,409,2,180,4,2,2017,8,9
32,2017,6,9/4/2017,1,2,2,0,2,16,0,4,2,457,2,177,4,2,2017,9,4
33,2017,9,10/6/2017,0,0,2,0,5,15,0,4,2,386,1,89,3,1,2017,10,6
34,2017,8,9/21/2017,2,0,2,0,5,8,0,4,2,447,1,95,3,1,2017,9,21
35,2017,11,10/16/2017,1,0,2,0,5,28,0,4,2,403,1,67,3,1,2017,10,16
36,2017,10,10/9/2017,1,2,2,0,2,16,0,4,2,457,2,97,3,1,2017,10,9
37,2017,3,8/14/2017,1,2,2,0,5,15,0,4,2,419,1,183,4,2,2017,8,14
38,2017,4,8/23/2017,4,0,2,0,5,15,0,4,2,386,1,157,4,2,2017,8,23
39,2017,1,8/3/2017,2,0,2,0,0,29,0,4,2,354,2,134,4,2,2017,8,3
40,2017,1,8/3/2017,2,2,2,0,2,16,0,4,2,409,1,197,4,2,2017,8,3
41,2017,3,8/17/2017,2,2,2,0,5,28,0,2,2,271,1,65,3,1,2017,8,17
42,2017,8,9/19/2017,3,0,2,0,6,11,0,4,2,366,2,118,4,2,2017,9,19
43,2017,1,8/3/2017,2,1,2,0,5,28,0,2,2,385,1,82,3,1,2017,8,3
44,2017,5,9/1/2017,0,0,2,0,5,15,0,4,2,386,1,61,3,1,2017,9,1
45,2017,7,9/14/2017,2,2,2,0,5,28,0,2,2,271,1,71,3,1,2017,9,14
46,2017,7,9/14/2017,2,1,2,0,5,28,0,2,2,385,1,50,2,1,2017,9,14
47,2017,2,8/8/2017,3,0,2,0,6,11,0,4,2,366,2,169,4,2,2017,8,8
48,2017,5,8/31/2017,2,2,2,0,5,28,0,2,2,271,1,72,3,1,2017,8,31
49,2017,2,8/10/2017,2,2,2,0,2,16,0,4,2,452,1,202,5,2,2017,8,10
50,2017,2,8/9/2017,4,1,2,0,5,28,0,2,2,385,1,115,4,2,2017,8,9
51,2017,1,8/3/2017,2,2,2,0,2,16,0,4,2,452,1,228,5,2,2017,8,3
52,2017,9,10/5/2017,2,2,2,0,2,16,0,4,2,409,1,62,3,1,2017,10,5
53,2017,3,8/17/2017,2,0,2,0,5,8,0,4,2,447,1,142,4,2,2017,8,17
54,2017,10,10/9/2017,1,1,2,0,2,17,0,4,0,320,1,99,3,1,2017,10,9
55,2017,3,8/18/2017,0,0,2,0,5,15,0,4,2,386,1,107,4,2,2017,8,18
56,2017,1,8/3/2017,2,0,2,0,5,8,0,4,2,447,1,183,4,2,2017,8,3
57,2017,10,10/9/2017,1,0,2,0,2,17,0,4,2,424,2,143,4,2,2017,10,9
58,2017,11,10/19/2017,2,0,2,0,0,29,0,4,2,354,2,97,3,1,2017,10,19
59,2017,11,10/17/2017,3,1,2,0,2,16,0,4,2,459,2,104,4,2,2017,10,17
60,2017,9,10/5/2017,2,1,2,0,6,7,1,2,2,304,1,56,3,1,2017,10,5
61,2017,9,10/5/2017,2,0,2,0,5,8,0,4,2,447,1,101,4,2,2017,10,5
62,2017,11,10/17/2017,3,2,2,0,2,16,0,4,2,452,2,63,3,1,2017,10,17
63,2017,4,8/23/2017,4,0,2,0,2,16,0,4,2,457,1,135,4,2,2017,8,23
64,2017,2,8/9/2017,4,0,2,0,5,28,0,4,2,403,1,145,4,2,2017,8,9
65,2017,1,8/3/2017,2,1,2,0,6,7,1,2,2,304,1,104,4,2,2017,8,3
66,2017,8,9/21/2017,2,2,2,0,2,16,0,4,2,409,1,71,3,1,2017,9,21
67,2017,5,9/1/2017,0,2,2,0,5,8,0,4,2,291,2,84,3,1,2017,9,1
68,2017,1,8/3/2017,2,2,2,0,5,28,0,2,2,271,1,108,4,2,2017,8,3
69,2017,3,8/17/2017,2,2,2,0,2,16,0,4,2,452,1,112,4,2,2017,8,17
70,2017,6,9/4/2017,1,1,2,0,2,17,0,4,0,320,1,158,4,2,2017,9,4
71,2017,6,9/4/2017,1,1,2,0,2,16,1,4,2,447,2,48,2,1,2017,9,4
72,2017,11,10/19/2017,2,0,2,0,5,15,0,4,2,419,1,71,3,1,2017,10,19
73,2017,4,8/21/2017,1,2,2,0,2,16,0,4,2,457,2,162,4,2,2017,8,21
74,2017,5,8/31/2017,2,0,2,0,5,8,0,4,2,447,1,115,4,2,2017,8,31
75,2017,9,10/3/2017,3,2,2,0,5,8,0,4,2,381,2,128,4,2,2017,10,3
76,2017,8,9/20/2017,4,0,2,0,5,28,0,4,2,403,1,105,4,2,2017,9,20
77,2017,8,9/21/2017,2,1,2,0,6,7,1,2,2,304,1,65,3,1,2017,9,21
78,2017,3,8/18/2017,0,2,2,0,5,15,0,4,2,419,1,110,4,2,2017,8,18
79,2017,3,8/17/2017,2,2,2,0,2,16,0,4,2,409,1,160,4,2,2017,8,17
80,2017,8,9/22/2017,0,2,2,0,5,15,0,4,2,419,1,62,3,1,2017,9,22
81,2017,10,10/9/2017,1,2,2,0,5,15,0,4,2,419,1,113,4,2,2017,10,9
82,2017,4,8/21/2017,1,1,2,0,2,16,1,4,2,447,2,77,3,1,2017,8,21
83,2017,1,8/2/2017,4,1,2,0,5,28,0,2,2,385,1,86,3,1,2017,8,2
84,2017,8,9/22/2017,0,2,2,0,5,8,0,4,2,291,2,78,3,1,2017,9,22
85,2017,6,9/6/2017,4,0,2,0,5,28,0,4,2,403,1,101,4,2,2017,9,6
86,2017,9,10/6/2017,0,2,2,0,5,8,0,4,2,291,2,87,3,1,2017,10,6
87,2017,11,10/18/2017,4,0,2,0,2,16,0,4,2,457,1,77,3,1,2017,10,18
88,2017,11,10/18/2017,4,0,2,0,5,28,0,4,2,403,1,73,3,1,2017,10,18
89,2017,5,9/1/2017,0,0,2,0,2,16,1,4,2,455,2,168,4,2,2017,9,1
90,2017,8,9/20/2017,4,1,2,0,5,28,0,2,2,385,1,95,3,1,2017,9,20
91,2017,4,8/21/2017,1,0,2,0,2,17,0,4,2,424,2,189,4,2,2017,8,21
92,2017,0,7/24/2017,1,1,2,0,2,17,0,4,0,320,1,116,4,2,2017,7,24
93,2017,4,8/21/2017,1,1,2,0,2,17,0,4,0,320,1,178,4,2,2017,8,21
94,2017,5,9/1/2017,0,2,2,0,5,15,0,4,2,419,1,66,3,1,2017,9,1
95,2017,1,8/2/2017,4,0,2,0,5,28,0,4,2,403,1,159,4,2,2017,8,2
96,2017,8,9/22/2017,0,0,2,0,5,15,0,4,2,386,1,66,3,1,2017,9,22
97,2017,4,8/24/2017,2,0,2,0,5,15,0,4,2,419,1,106,4,2,2017,8,24
98,2017,1,8/3/2017,2,0,2,0,5,15,0,4,2,419,1,177,4,2,2017,8,3
99,2017,6,9/7/2017,2,2,2,0,5,28,0,2,2,271,1,66,3,1,2017,9,7
100,2017,9,10/5/2017,2,0,2,0,0,29,0,4,2,354,2,105,4,2,2017,10,5
101,2017,3,8/17/2017,2,1,2,0,6,7,1,2,2,304,1,97,3,1,2017,8,17
102,2017,0,7/27/2017,2,1,2,0,5,28,0,2,2,385,1,97,3,1,2017,7,27
103,2017,3,8/17/2017,2,0,2,0,0,29,0,4,2,354,2,140,4,2,2017,8,17
104,2017,0,7/24/2017,1,0,2,0,2,17,0,4,2,424,2,170,4,2,2017,7,24
105,2017,6,9/4/2017,1,0,2,0,2,17,0,4,2,424,2,163,4,2,2017,9,4
106,2017,7,9/15/2017,0,2,2,0,5,8,0,4,2,291,2,178,4,2,2017,9,15
107,2017,11,10/19/2017,2,2,2,0,2,16,0,4,2,452,1,71,3,1,2017,10,19
108,2017,3,8/18/2017,0,2,2,0,5,8,0,4,2,291,2,121,4,2,2017,8,18
109,2017,8,9/19/2017,3,2,2,0,5,8,0,4,2,381,2,128,4,2,2017,9,19
110,2017,6,9/7/2017,2,0,2,0,5,8,0,4,2,447,1,112,4,2,2017,9,7
111,2017,7,9/14/2017,2,0,2,0,0,29,0,4,2,354,2,129,4,2,2017,9,14
112,2017,0,7/25/2017,3,2,2,0,5,8,0,4,2,381,2,183,4,2,2017,7,25
